TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
2.0000,2015-12-26,2015,12,52,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-12-26,2015,12,52,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-12-02,2015,12,49,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-12,2015,9,37,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-11-13,2015,11,46,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-11-15,2015,11,46,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-11-15,2015,11,46,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-21,2015,3,12,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-07-26,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-02,2015,5,18,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-01,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-05-02,2015,5,18,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-02,2015,5,18,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-17,2015,9,38,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-17,2015,9,38,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-17,2015,9,38,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-08-17,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-11-10,2015,11,46,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-10-27,2015,10,44,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-07-10,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
